Git Repo	Before Hash	After Hash	Extracted From Method Name	Extracted To Method Name	FQ Class Name
https://github.com/crate/crate.git		d5f10a4958f5e870680be906689d92d1efb42480			
			public add(column String, type DataType, path List&lt;String&gt;, columnPolicy ColumnPolicy, indexType IndexType, partitionBy boolean) : Builder	public add(info ReferenceInfo, partitionBy boolean) : Builder	io.crate.metadata.table.TestingTableInfo.Builder
					
https://github.com/google/truth.git	61fbc31cc4e8d4efe8fc836ec21897796b9d6074	200f1577d238a6d3fbcf99cb2a2585b2071214a6			
			public isPartiallyOrdered(comparator Comparator&lt;? super T&gt;) : void	public isOrdered(comparator Comparator&lt;? super T&gt;) : void	com.google.common.truth.IterableSubject
			public isPartiallyOrdered() : void	public isOrdered() : void	com.google.common.truth.IterableSubject
					
https://github.com/wildfly/wildfly.git		c0f8a7f2b4341601df63c5470f41f157dbd83781			
			public main(args String[]) : void	private standaloneCollect(cli CLI, protocol String, host String, port int) : void	org.jboss.as.jdr.CommandLineMain
					
https://github.com/CyanogenMod/android_frameworks_base.git		4587c32ab8a1c8e2169e4f93491a8c927216a6ab			
			public start() : void	private startAsync() : void	com.android.systemui.usb.StorageNotification
					
https://github.com/apache/drill.git	0a27a033a349ba164e29d818a6ae73c41c0cd4bb	b2bbd9941be6b132a83d27c0ae02c935e1dec5dd			
			public allocateNew(valueCount int) : void	private allocateBytes(size long) : void	public allocateNewSafe() : boolean
			public allocateNew(valueCount int) : void	private allocateBytes(size long) : void	public allocateNewSafe() : boolean
					
https://github.com/google/j2objc.git	106fede36fce8d4f121448d5e67027f9d80594d3	fa3e6fa02dadc675f0d487a15cd842b3ac4a0c11			
			private rewriteBoxedPrefixOrPostfix(node TreeNode, operand Expression, funcName String) : void	private getOperatorFunctionModifier(expr Expression) : String	com.google.devtools.j2objc.translate.Autoboxer
					
https://github.com/spring-projects/spring-framework.git	3c2efeece40951f0775252a640165a51d71b47e6	ef0eb01f93d6c485cf37692fd193833a6821272a			
			protected checkAndPrepare(request HttpServletRequest, response HttpServletResponse, cacheControl CacheControl) : void	protected checkRequest(request HttpServletRequest) : void	org.springframework.web.servlet.support.WebContentGenerator
					
